STD_ID,   number,Пол,Статус,Дата выпуска,Категория обучения,Форма обучения,Шифр,направление (специальность),   ,Образование,Дата выдачи,Что именно закончил
99136,13951.0,Ж,ВЫП,2019-08-31,БП,Д,31.05.01,Лечебное дело,2629.0,СР,2013-06-26 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
99112,13998.0,Ж,ВЫП,2019-08-31,БП,Д,31.05.01,Лечебное дело,8240.0,СР,2012-06-23 00:00:00,"МОУ СОШ N   2, ПЕСТОВО"
99109,13999.0,Ж,ВЫП,2019-08-31,БП,Д,31.05.01,Лечебное дело,2314.0,СР,2013-06-25 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
99125,13953.0,Ж,ВЫП,2019-08-31,БП,Д,31.05.01,Лечебное дело,2345.0,СР,2013-06-23 00:00:00,"Гимназия ""ГАРМОНИЯ"""
100676,13950.0,М,ВЫП,2019-08-31,БП,Д,31.05.01,Лечебное дело,2650.0,СР,2012-06-29 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
99099,13959.0,Ж,ВЫП,2019-08-31,БП,Д,31.05.01,Лечебное дело,8800.0,СР,2013-06-21 00:00:00,"МОУ СОШ (полная), ХОЛМ"
103016,14035.0,Ж,ВЫП,2019-06-30,ДОГ,Д,31.05.01,Лечебное дело,8668.0,СР,2013-05-21 00:00:00,"СРЕДНЯЯ ШКОЛА N 1 , ЧУДОВО ул Титова"
100677,13923.0,М,ВЫП,2019-08-31,БП,Д,31.05.01,Лечебное дело,2647.0,СР,2012-06-20 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
116989,12494.0,М,ВЫП,2019-08-31,БП,Д,04.05.01,Фундаментальная и прикладная химия,3009.0,СР,2014-06-20 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
120708,13817.0,Ж,ВЫП,2019-06-30,ДОГ,Д,31.05.03,Стоматология,3401.0,СР,2014-06-21 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
113136,13794.0,Ж,ВЫП,2019-08-31,БП,Д,31.05.03,Стоматология,2985.0,СР,2014-06-27 00:00:00,"МСОШ N 1, ОКУЛОВКА"
114374,13835.0,Ж,ВЫП,2019-06-30,БП,Д,31.05.03,Стоматология,3189.0,СР,2014-06-25 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
120718,13832.0,Ж,ВЫП,2019-06-30,ДОГ,Д,31.05.03,Стоматология,1640.0,СР,2012-06-23 00:00:00,"СРЕДНЯЯ ШКОЛА N  14, НОВГОРОД"
117172,13806.0,М,ВЫП,2019-08-31,БП,Д,31.05.03,Стоматология,3183.0,СР,2014-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА , ДЕМЯНСК"
117164,12599.0,Ж,ВЫП,2019-08-31,БП,Д,33.05.01,Фармация,2747.0,СР,2014-06-19 00:00:00,"МСОШ N   4, СТАРАЯ РУССА"
117165,12613.0,Ж,ВЫП,2019-06-30,БП,Д,33.05.01,Фармация,3365.0,СР,2014-06-22 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
117204,1126.0,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,9099.0,СР,2014-06-20 00:00:00,"МСОШ (полная) N 4, МАЛАЯ ВИШЕРА"
117178,1269.0,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,3065.0,СР,2014-06-23 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
114386,1217.0,М,СТ,,БП,Д,31.05.01,Лечебное дело,2977.0,СР,2014-06-20 00:00:00,"ЛИЦЕЙ-ИНТЕРНАТ , НОВГОРОД"
118611,13191.0,Ж,ВЫП,2019-06-30,ДОГ,З,38.03.01,Экономика,768.0,СР,2009-06-20 00:00:00,"МСОШ (полная) , ПОДДОРЬЕ"
141781,12839.0,Ж,ВЫП,2019-08-31,БП,Д,38.03.02,Менеджмент,9656.0,СР,2015-06-26 00:00:00,"ГИМНАЗИЯ N   3, НОВГОРОД"
151278,12810.0,Ж,ВЫП,2019-08-31,БП,Д,38.03.02,Менеджмент,9587.0,СР,2015-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N   7, БОРОВИЧИ"
141845,11850.0,М,ВЫП,2019-08-31,БП,Д,09.03.01,Информатика и вычислительная техника,9649.0,СР,2015-06-26 00:00:00,"ГИМНАЗИЯ ""ЭВРИКА"""
141848,11849.0,М,ВЫП,2019-08-31,БП,Д,09.03.01,Информатика и вычислительная техника,4071.0,СР,2015-06-23 00:00:00,"ЛИЦЕЙ-ИНТЕРНАТ , НОВГОРОД"
141996,11148.0,М,ВЫП,2019-08-31,БП,Д,15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств,9568.0,СР,2015-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N  34, НОВГОРОД"
140122,11149.0,М,ВЫП,2019-08-31,БП,Д,15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств,9598.0,СР,2015-06-26 00:00:00,"СРЕДНЯЯ ШКОЛА N   2, КРЕСТЦЫ"
151155,14328.0,Ж,ВЫП,2019-08-31,ДОГ,Д,45.03.02,Лингвистика,3833.0,СР,2015-06-27 00:00:00,"ГИМНАЗИЯ N   1, НОВГОРОД"
142245,14336.0,Ж,ВЫП,2019-08-31,БП,Д,45.03.02,Лингвистика,4265.0,СР,2015-07-02 00:00:00,"ГИМНАЗИЯ, БОРОВИЧИ"
142246,14326.0,М,ВЫП,2019-08-31,БП,Д,45.03.02,Лингвистика,3746.0,СР,2015-06-25 00:00:00,"ГИМНАЗИЯ ""НОВОСКУЛ"""
142258,14318.0,Ж,ВЫП,2019-08-31,БП,Д,45.03.02,Лингвистика,4108.0,СР,2015-06-26 00:00:00,"МОСШ N   1 ИМЕНИ АВЕРИНА, ВАЛДАЙ"
142819,14315.0,Ж,ВЫП,2019-08-31,БП,Д,45.03.02,Лингвистика,9861.0,СР,2015-06-23 00:00:00,"МСОШ (полная) , Бурга МАЛОВИШЕРСКИЙ р-н"
142259,14319.0,Ж,ВЫП,2019-08-31,БП,Д,45.03.02,Лингвистика,3911.0,СР,2015-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N  13, НОВГОРОД"
141754,12996.0,Ж,ВЫП,2019-08-31,БП,Д,38.03.03,Управление персоналом,4243.0,СР,2015-06-25 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
142736,12299.0,Ж,ВЫП,2019-08-31,БП,Д,35.03.04,Агрономия,9716.0,СР,2015-06-26 00:00:00,"СОШ , МАРЕВО"
141887,12297.0,М,ВЫП,2019-08-31,БП,Д,35.03.04,Агрономия,9678.0,СР,2015-06-26 00:00:00,"МСОШ N 5 с углубл. изучением химии и биологии, СТАРАЯ РУССА"
141907,12467.0,Ж,ВЫП,2019-08-31,БП,Д,06.03.01,Биология,4084.0,СР,2015-06-20 00:00:00,"МОУ СОШ N   6, ПЕСТОВО"
141912,12463.0,Ж,ВЫП,2019-08-31,БП,Д,06.03.01,Биология,4385.0,СР,2015-06-20 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
