index,mark
51081,5
72921,5
96438,5
273044,4
371309,3
40650,5
192280,5
245859,4
4110,5
44829,4
259875,4
222353,4
60443,5
196199,3
319613,4
94332,4
37953,3
17475,4
247805,5
73491,5
178800,4
166526,3
154825,3
354760,4
361677,3
377876,5
262326,5
265821,5
57346,4
302859,4
66866,3
196714,5
84310,5
267812,3
373932,4
372445,5
261671,3
180631,5
224695,4
323862,3
200829,3
323166,5
333641,4
321622,4
299035,3
71340,4
168198,4
270381,5
325602,4
375797,5
304530,4
182337,4
33043,3
242126,4
353639,5
189954,5
291778,5
377692,5
85686,4
3009,5
352193,3
74027,3
281695,4
346234,5
261521,5
363725,4
45520,3
369860,5
173050,4
306850,4
339391,5
50084,5
260602,4
355087,5
49769,4
296251,5
319418,4
160839,5
312156,3
240479,3
241015,5
358782,4
377600,5
20514,5
61358,5
40683,3
362180,5
16759,3
52117,3
84322,4
9146,3
155271,5
241899,5
238264,5
352012,5
286700,5
199361,3
41110,5
333549,3
47200,5
270006,4
46150,4
166223,3
8668,5
308351,3
362877,5
180779,5
342156,5
277310,4
18033,3
195280,5
224150,5
240207,4
236369,5
303174,4
8790,5
351092,3
211530,4
253208,5
51367,5
165178,5
173302,5
155686,3
174302,4
84838,5
226099,5
77262,5
20512,5
362258,3
268856,4
283944,5
8910,5
68871,4
374620,5
216762,4
159853,4
331142,5
16304,4
54442,5
342263,5
259760,4
52926,5
19388,5
18985,5
45326,4
223165,4
6028,5
438,5
273359,4
31704,5
226517,4
100652,3
31984,5
288799,3
341891,4
42326,4
354125,5
348444,4
315615,3
239711,4
370348,5
211163,4
39473,5
361588,4
180735,4
38732,3
70558,5
197631,4
231705,5
211096,5
254194,5
365731,4
258856,4
277749,4
58394,4
79452,4
52878,5
30641,4
214275,4
233941,4
289094,4
191579,3
219441,4
276655,5
24963,5
272982,3
349730,3
197865,4
359291,5
367042,4
100647,3
39233,5
197939,5
302525,3
40851,5
280803,3
9339,4
16604,5
250361,5
1952,4
10686,4
188583,5
49399,5
360936,4
46424,4
212873,4
3331,3
71285,4
61315,4
365193,4
324772,5
337808,4
291516,5
204738,3
155742,5
73123,5
362604,4
298055,3
321632,4
237353,5
165871,5
275318,4
55950,4
246867,4
225472,5
285626,3
377104,3
362614,4
329358,5
258950,5
26712,5
47796,5
49042,4
30139,4
186237,3
321116,3
335668,3
358424,3
374934,3
276907,4
38861,5
23520,4
80960,5
303032,3
247691,5
183355,5
